Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Energy systems,11.66580106,11.8129899,11.96353134,11.99237761,12.1261621,12.32272911,12.76245676,12.8477288,12.88264809,12.88377847,13.3762796,13.61191638,13.82979906,14.64710694,15.12851169,15.75663252,16.35844738,16.93042636,16.93943344,16.67578579,17.7441755,18.44389381,18.77423826,19.07408618,19.22454334,19.08782427,19.07037906,19.25957338,19.69914388
Industry,7.774724204,7.697325387,7.600529684,7.590874055,7.746123366,8.096303647,8.01431221,8.154453602,8.114237178,8.096166194,8.399710539,8.428364322,8.602085877,9.017470476,9.738402528,10.18657754,10.76231471,11.34376009,11.53773765,11.55906475,12.31908842,12.90123153,13.08572671,13.33148611,13.60670215,13.60334505,13.60860462,13.78546718,14.09284499
AFOLU,10.77217499,10.70268236,10.62356464,10.59903867,10.57372621,10.51350953,10.39233865,11.46911636,10.12621422,10.10333306,10.59370807,10.43024705,10.98366079,11.26096261,11.26433479,11.01341286,11.20279126,10.81367891,11.01720768,11.82371417,11.53710449,11.31372761,11.74117788,11.87961571,12.25379221,12.36751782,12.10558301,12.1095309,12.25856156
Transport,4.703228145,4.749102672,4.857756909,4.900210391,4.996858487,5.130926625,5.340659979,5.419970088,5.543113257,5.702248307,5.874896693,5.903274012,6.041334613,6.175287052,6.450901111,6.584006507,6.729251554,6.937792156,6.945871041,6.813391995,7.100998742,7.226265751,7.357024242,7.494228878,7.641299088,7.85140283,8.015627536,8.129362348,8.258978543
Buildings,2.986645386,3.007631647,2.893363386,2.958491115,2.866454022,2.958253725,3.006875948,2.996706375,2.825655608,2.899835683,2.91113521,2.930207373,2.920203588,3.012837461,3.058254021,3.066559932,3.028080558,3.016536028,3.081623375,3.041958094,3.082117085,3.039004419,3.01469,3.107149121,3.075681202,3.0788197,3.12330946,3.186369898,3.301962202
