,Units,scenario,region,sector,subsector,technology,Year,value
37,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2090,14.4039
38,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2095,14.9531
39,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2100,15.4362
40,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2005,3.34421
41,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2010,3.6941
42,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2015,3.75271
43,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2020,3.80808
44,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2025,5.3558
45,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2030,6.61564
46,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2035,7.72559
47,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2040,8.34085
48,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2045,9.03736
49,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2050,9.8276
50,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2055,10.7317
51,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2060,11.7958
52,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2065,13.0456
53,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2070,14.5242
54,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2075,16.2486
55,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2080,18.2279
56,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2085,20.5024
57,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2090,23.1206
58,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2095,26.1397
59,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical,2100,29.6242
60,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2005,5.0632
61,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2010,5.48917
62,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2015,5.56067
63,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2020,19992.5
64,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2025,6.32119
65,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2030,7.97658
66,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2035,8.47095
67,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2040,8.77009
68,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2045,9.21378
69,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2050,9.80973
70,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2055,10.5079
71,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2060,11.9762
72,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2065,13.377
73,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2070,14.6427
74,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2075,15.8087
75,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2080,16.9043
76,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2085,17.9847
77,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2090,19.0836
78,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2095,20.2102
79,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2100,21.3778
80,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,electricity,electrolysis,2005,17.6868
81,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,electricity,electrolysis,2010,23.9706
82,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,electricity,electrolysis,2015,22.4806
83,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,electricity,electrolysis,2020,20.1718
84,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,electricity,electrolysis,2025,20.4714
85,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,electricity,electrolysis,2030,20.2276
86,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,electricity,electrolysis,2035,20.0877
87,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,electricity,electrolysis,2040,19.5857
88,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,electricity,electrolysis,2045,18.763
