,Units,scenario,region,input,Year,value
0,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2025,0.0017614345599999998
1,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2030,0.011747047891800002
2,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2035,0.038820392279000006
3,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2040,0.0791558844655
4,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2045,0.124869471476
5,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2050,0.17114165135
6,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2055,0.21434817001999995
7,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2060,0.2626973919999999
8,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2065,0.3199906506999999
9,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2070,0.38645549550000013
10,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2075,0.4644756071
11,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2080,0.5497409727999999
12,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2085,0.6388493377000001
13,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2090,0.7290837038
14,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2095,0.8174491859999999
15,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2100,0.9019851407000001
16,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2025,0.000232144
17,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2030,0.00110474
18,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2035,0.0029912046361000003
19,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2040,0.005053982334999999
20,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2045,0.0086245125
21,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2050,0.018084357
22,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2055,0.03406403
23,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2060,0.06158904
24,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2065,0.10197066
25,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2070,0.15363553
26,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2075,0.21342017000000002
27,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2080,0.2752849
28,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2085,0.33569965
29,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2090,0.39455344999999997
30,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2095,0.44874916
31,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2,2100,0.50339101
32,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,Electricity,2005,1.819983e-05
33,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,Electricity,2010,4.13996e-05
34,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,Electricity,2015,4.07995e-05
35,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,Electricity,2020,5.406571e-05
36,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,Electricity,2025,0.01107783253275
37,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,Electricity,2030,0.047328297811457996
38,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,Electricity,2035,0.10565273873434401
39,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,Electricity,2040,0.20114468237529098
