,region,sector,Year,value
110,Africa_Western,other industrial energy use,2045,0.093252831
111,Africa_Western,other industrial energy use,2050,0.15029205860000003
112,Africa_Western,other industrial energy use,2055,0.22933897509999998
113,Africa_Western,other industrial energy use,2060,0.33468008825999995
114,Africa_Western,other industrial energy use,2065,0.4653054791
115,Africa_Western,other industrial energy use,2070,0.6178916759
116,Africa_Western,other industrial energy use,2075,0.787314258
117,Africa_Western,other industrial energy use,2080,0.968249124
118,Africa_Western,other industrial energy use,2085,1.157960636
119,Africa_Western,other industrial energy use,2090,1.3536058979999999
120,Africa_Western,other industrial energy use,2095,1.546434719
121,Africa_Western,other industrial energy use,2100,1.7364490840000002
122,Africa_Western,process heat cement,2025,0.000302712
123,Africa_Western,process heat cement,2030,0.002555832
124,Africa_Western,process heat cement,2035,0.006397767
125,Africa_Western,process heat cement,2040,0.012796916
126,Africa_Western,process heat cement,2045,0.0229250987
127,Africa_Western,process heat cement,2050,0.0379882157
128,Africa_Western,process heat cement,2055,0.05259600957
129,Africa_Western,process heat cement,2060,0.06641044152
130,Africa_Western,process heat cement,2065,0.080058024
131,Africa_Western,process heat cement,2070,0.09421720619999999
132,Africa_Western,process heat cement,2075,0.1076292703
133,Africa_Western,process heat cement,2080,0.120129204
134,Africa_Western,process heat cement,2085,0.129993532
135,Africa_Western,process heat cement,2090,0.138286151
136,Africa_Western,process heat cement,2095,0.143475296
137,Africa_Western,process heat cement,2100,0.14665087699999999
138,Africa_Western,transport,2025,0.0019457163899999999
139,Africa_Western,transport,2030,0.013022833562000001
140,Africa_Western,transport,2035,0.0425562521169
141,Africa_Western,transport,2040,0.083553010665
142,Africa_Western,transport,2045,0.1332953584
143,Africa_Western,transport,2050,0.1951791759
144,Africa_Western,transport,2055,0.2637051789
145,Africa_Western,transport,2060,0.34970424310000003
146,Africa_Western,transport,2065,0.4608354779
147,Africa_Western,transport,2070,0.6025038989999999
148,Africa_Western,transport,2075,0.769564011
149,Africa_Western,transport,2080,0.9502666319999999
150,Africa_Western,transport,2085,1.128184676
151,Africa_Western,transport,2090,1.3061339770000002
152,Africa_Western,transport,2095,1.470837862
153,Africa_Western,transport,2100,1.6229344620000001
154,Brazil,N fertilizer,2025,0.000294212
155,Brazil,N fertilizer,2030,0.001467572
156,Brazil,N fertilizer,2035,0.003556103
157,Brazil,N fertilizer,2040,0.007375179
158,Brazil,N fertilizer,2045,0.012725698
159,Brazil,N fertilizer,2050,0.018051713900000002
160,Brazil,N fertilizer,2055,0.0221506646
161,Brazil,N fertilizer,2060,0.02526669875
162,Brazil,N fertilizer,2065,0.027794926600000002
163,Brazil,N fertilizer,2070,0.029243574200000004
164,Brazil,N fertilizer,2075,0.030071580100000002
165,Brazil,N fertilizer,2080,0.030554443500000004
166,Brazil,N fertilizer,2085,0.0308168635
167,Brazil,N fertilizer,2090,0.0309017724
168,Brazil,N fertilizer,2095,0.0308180199
169,Brazil,N fertilizer,2100,0.0305429681
170,Brazil,agricultural energy use,2025,0.00183239
171,Brazil,agricultural energy use,2030,0.00629561
172,Brazil,agricultural energy use,2035,0.011658814
173,Brazil,agricultural energy use,2040,0.015490671000000001
174,Brazil,agricultural energy use,2045,0.019137038
175,Brazil,agricultural energy use,2050,0.021532959999999997
176,Brazil,agricultural energy use,2055,0.02241104
