,region,sector,Year,value
110,Africa_Western,other industrial energy use,2045,0.06775946299999999
111,Africa_Western,other industrial energy use,2050,0.10947990400000002
112,Africa_Western,other industrial energy use,2055,0.1614725809
113,Africa_Western,other industrial energy use,2060,0.21808184454999996
114,Africa_Western,other industrial energy use,2065,0.27624201460000003
115,Africa_Western,other industrial energy use,2070,0.33519027939999996
116,Africa_Western,other industrial energy use,2075,0.3944709265
117,Africa_Western,other industrial energy use,2080,0.45312910000000006
118,Africa_Western,other industrial energy use,2085,0.50930237
119,Africa_Western,other industrial energy use,2090,0.56132629
120,Africa_Western,other industrial energy use,2095,0.6080632960000001
121,Africa_Western,other industrial energy use,2100,0.6499385860000001
122,Africa_Western,process heat cement,2025,0.000295174
123,Africa_Western,process heat cement,2030,0.0029915980000000003
124,Africa_Western,process heat cement,2035,0.009573439
125,Africa_Western,process heat cement,2040,0.023381252999999998
126,Africa_Western,process heat cement,2045,0.043318813
127,Africa_Western,process heat cement,2050,0.0658946833
128,Africa_Western,process heat cement,2055,0.0903691896
129,Africa_Western,process heat cement,2060,0.11526720424
130,Africa_Western,process heat cement,2065,0.1434338798
131,Africa_Western,process heat cement,2070,0.17662580760000002
132,Africa_Western,process heat cement,2075,0.214164153
133,Africa_Western,process heat cement,2080,0.255496417
134,Africa_Western,process heat cement,2085,0.29953152400000005
135,Africa_Western,process heat cement,2090,0.342953521
136,Africa_Western,process heat cement,2095,0.383358547
137,Africa_Western,process heat cement,2100,0.41975168
138,Africa_Western,transport,2025,0.001106346666
139,Africa_Western,transport,2030,0.007310944081
140,Africa_Western,transport,2035,0.026376321904
141,Africa_Western,transport,2040,0.052585101994700005
142,Africa_Western,transport,2045,0.08235880058199999
143,Africa_Western,transport,2050,0.11968940437999998
144,Africa_Western,transport,2055,0.16114951341000003
145,Africa_Western,transport,2060,0.21612662252000003
146,Africa_Western,transport,2065,0.29359060573999995
147,Africa_Western,transport,2070,0.40378444859999996
148,Africa_Western,transport,2075,0.5259937405999999
149,Africa_Western,transport,2080,0.6465139497000001
150,Africa_Western,transport,2085,0.7795935814
151,Africa_Western,transport,2090,0.925226637
152,Africa_Western,transport,2095,1.0807943893
153,Africa_Western,transport,2100,1.2384157250999996
154,Brazil,N fertilizer,2025,0.000141198
155,Brazil,N fertilizer,2030,0.000582231
156,Brazil,N fertilizer,2035,0.002189644
157,Brazil,N fertilizer,2040,0.005339311
158,Brazil,N fertilizer,2045,0.0089904946
159,Brazil,N fertilizer,2050,0.0116237142
160,Brazil,N fertilizer,2055,0.01421784953
161,Brazil,N fertilizer,2060,0.01644859223
162,Brazil,N fertilizer,2065,0.019731489310000003
163,Brazil,N fertilizer,2070,0.0235304247
164,Brazil,N fertilizer,2075,0.025884272799999997
165,Brazil,N fertilizer,2080,0.0268674049
166,Brazil,N fertilizer,2085,0.026589746200000004
167,Brazil,N fertilizer,2090,0.0248076697
168,Brazil,N fertilizer,2095,0.0223352385
169,Brazil,N fertilizer,2100,0.019298647699999998
170,Brazil,agricultural energy use,2025,0.00177856
171,Brazil,agricultural energy use,2030,0.00607149
172,Brazil,agricultural energy use,2035,0.011452872999999999
173,Brazil,agricultural energy use,2040,0.015041759000000002
174,Brazil,agricultural energy use,2045,0.018094586
175,Brazil,agricultural energy use,2050,0.01978999
176,Brazil,agricultural energy use,2055,0.020454220000000002
177,Brazil,agricultural energy use,2060,0.02113565
178,Brazil,agricultural energy use,2065,0.02223799
179,Brazil,agricultural energy use,2070,0.0233169
180,Brazil,agricultural energy use,2075,0.02404993
181,Brazil,agricultural energy use,2080,0.02458075
182,Brazil,agricultural energy use,2085,0.02502387
183,Brazil,agricultural energy use,2090,0.02545828
184,Brazil,agricultural energy use,2095,0.02602835
185,Brazil,agricultural energy use,2100,0.0266128
186,Brazil,building,2025,8.36981e-06
187,Brazil,building,2030,0.00010546873000000001
188,Brazil,building,2035,0.00031100025
189,Brazil,building,2040,0.00040608358
190,Brazil,building,2045,0.00042952661
191,Brazil,building,2050,0.0005291791
192,Brazil,building,2055,0.0006950627
193,Brazil,building,2060,0.0010945651
194,Brazil,building,2065,0.0017932961999999998
