index,Energy Source,2050 % contrib,2020 % contrib
0,a oil,11.988066938315399,20.423187776179613
1,b natural gas,10.334558972581224,6.456029730321575
2,c coal,8.312800986585648,50.65731670269741
3,d biomass,16.47570935172337,5.02805008448331
4,e nuclear,6.804645074189837,1.572699934813786
5,f hydro,3.7180569770431138,6.56115158277523
6,g wind,15.414614546151729,1.9465077904656711
7,h solar,24.449762777506034,0.866325649238391
8,i geothermal,1.0857265796560847,0.1389798638261477
9,j traditional biomass,1.416057796247557,6.349750885198866
