,Year,region,mode,technology,value
0,2005,Africa_Western,Domestic Aviation,Liquids,0.0276068
1,2005,Africa_Western,International Aviation,Liquids,0.0343589
2,2005,Brazil,Domestic Aviation,Liquids,0.0696752
3,2005,Brazil,International Aviation,Liquids,0.0856171
4,2005,China,Domestic Aviation,Liquids,0.326841
5,2005,China,International Aviation,Liquids,0.291787
6,2005,India,Domestic Aviation,Liquids,0.0734839
7,2005,India,International Aviation,Liquids,0.0734782
8,2005,South Asia,Domestic Aviation,Liquids,0.0050065000000000005
9,2005,South Asia,International Aviation,Liquids,0.0805564
10,2010,Africa_Western,Domestic Aviation,Liquids,0.0380677
11,2010,Africa_Western,International Aviation,Liquids,0.0473783
12,2010,Brazil,Domestic Aviation,Liquids,0.0974514
13,2010,Brazil,International Aviation,Liquids,0.119749
14,2010,China,Domestic Aviation,Liquids,0.54237
15,2010,China,International Aviation,Liquids,0.376881
16,2010,India,Domestic Aviation,Liquids,0.113229
17,2010,India,International Aviation,Liquids,0.113221
18,2010,South Asia,Domestic Aviation,Liquids,0.0044462
19,2010,South Asia,International Aviation,Liquids,0.0715432
20,2015,Africa_Western,Domestic Aviation,Liquids,0.0363003
21,2015,Africa_Western,International Aviation,Liquids,0.0451786
22,2015,Brazil,Domestic Aviation,Liquids,0.114372
23,2015,Brazil,International Aviation,Liquids,0.140541
24,2015,China,Domestic Aviation,Liquids,0.843286
25,2015,China,International Aviation,Liquids,0.505212
26,2015,India,Domestic Aviation,Liquids,0.139621
27,2015,India,International Aviation,Liquids,0.139611
28,2015,South Asia,Domestic Aviation,Liquids,0.004999
29,2015,South Asia,International Aviation,Liquids,0.0804369
30,2020,Africa_Western,Domestic Aviation,Liquids,0.0506994
31,2020,Africa_Western,International Aviation,Liquids,0.0596258
32,2020,Brazil,Domestic Aviation,Liquids,0.123907
33,2020,Brazil,International Aviation,Liquids,0.159124
34,2020,China,Domestic Aviation,Liquids,1.29687
35,2020,China,International Aviation,Liquids,0.711187
36,2020,India,Domestic Aviation,Liquids,0.203677
37,2020,India,International Aviation,Liquids,0.188786
38,2020,South Asia,Domestic Aviation,Liquids,0.006422590000000001
39,2020,South Asia,International Aviation,Liquids,0.101784
40,2025,Africa_Western,Domestic Aviation,Liquids,0.0736873
41,2025,Africa_Western,International Aviation,Liquids,0.0761146
42,2025,Brazil,Domestic Aviation,Liquids,0.143386
43,2025,Brazil,International Aviation,Liquids,0.169454
44,2025,China,Domestic Aviation,Liquids,1.73516
45,2025,China,International Aviation,Liquids,0.849434
46,2025,India,Domestic Aviation,Liquids,0.291937
47,2025,India,International Aviation,Liquids,0.235167
48,2025,South Asia,Domestic Aviation,Liquids,0.00837115
49,2025,South Asia,International Aviation,Liquids,0.12215140000000001
50,2030,Africa_Western,Domestic Aviation,Liquids,0.10901
51,2030,Africa_Western,International Aviation,Liquids,0.100737
52,2030,Brazil,Domestic Aviation,Liquids,0.160583
53,2030,Brazil,International Aviation,Liquids,0.180943
54,2030,China,Domestic Aviation,Liquids,2.1747
55,2030,China,International Aviation,Liquids,0.982188
56,2030,India,Domestic Aviation,Liquids,0.405274
57,2030,India,International Aviation,Liquids,0.293292
58,2030,South Asia,Domestic Aviation,Liquids,0.01108196
59,2030,South Asia,International Aviation,Liquids,0.1514258
60,2035,Africa_Western,Domestic Aviation,BEV,0.000238974
61,2035,Africa_Western,Domestic Aviation,Hydrogen,0.000135623
62,2035,Africa_Western,Domestic Aviation,Liquids,0.156415
63,2035,Africa_Western,International Aviation,BEV,1.76157e-08
64,2035,Africa_Western,International Aviation,Hydrogen,3.3001e-08
65,2035,Africa_Western,International Aviation,Liquids,0.134081
66,2035,Brazil,Domestic Aviation,BEV,0.000317834
67,2035,Brazil,Domestic Aviation,Hydrogen,0.000161688
68,2035,Brazil,Domestic Aviation,Liquids,0.171888
69,2035,Brazil,International Aviation,BEV,3.22319e-08
70,2035,Brazil,International Aviation,Hydrogen,5.53702e-08
71,2035,Brazil,International Aviation,Liquids,0.192683
72,2035,China,Domestic Aviation,BEV,0.00530019
73,2035,China,Domestic Aviation,Hydrogen,0.00231166
74,2035,China,Domestic Aviation,Liquids,2.4847
75,2035,China,International Aviation,BEV,2.29919e-07
76,2035,China,International Aviation,Hydrogen,3.49843e-07
77,2035,China,International Aviation,Liquids,1.08668
78,2035,India,Domestic Aviation,BEV,0.000571806
79,2035,India,Domestic Aviation,Hydrogen,0.000472232
80,2035,India,Domestic Aviation,Liquids,0.539172
81,2035,India,International Aviation,BEV,3.86048e-08
82,2035,India,International Aviation,Hydrogen,1.03005e-07
83,2035,India,International Aviation,Liquids,0.363393
84,2035,South Asia,Domestic Aviation,BEV,2.4395079999999998e-05
85,2035,South Asia,Domestic Aviation,Hydrogen,1.1464980000000001e-05
86,2035,South Asia,Domestic Aviation,Liquids,0.014500269999999999
87,2035,South Asia,International Aviation,BEV,2.7716299999999998e-08
88,2035,South Asia,International Aviation,Hydrogen,4.45645e-08
89,2035,South Asia,International Aviation,Liquids,0.1903762
90,2040,Africa_Western,Domestic Aviation,BEV,0.000939112
91,2040,Africa_Western,Domestic Aviation,Hydrogen,0.000613595
92,2040,Africa_Western,Domestic Aviation,Liquids,0.231037
93,2040,Africa_Western,International Aviation,BEV,2.12438e-07
94,2040,Africa_Western,International Aviation,Hydrogen,8.82972e-07
95,2040,Africa_Western,International Aviation,Liquids,0.186594
96,2040,Brazil,Domestic Aviation,BEV,0.000900993
97,2040,Brazil,Domestic Aviation,Hydrogen,0.000507176
98,2040,Brazil,Domestic Aviation,Liquids,0.188666
99,2040,Brazil,International Aviation,BEV,2.98446e-07
100,2040,Brazil,International Aviation,Hydrogen,1.09058e-06
101,2040,Brazil,International Aviation,Liquids,0.214022
102,2040,China,Domestic Aviation,BEV,0.0152098
103,2040,China,Domestic Aviation,Hydrogen,0.0079482
104,2040,China,Domestic Aviation,Liquids,2.78634
105,2040,China,International Aviation,BEV,2.07961e-06
106,2040,China,International Aviation,Hydrogen,7.15713e-06
107,2040,China,International Aviation,Liquids,1.20986
108,2040,India,Domestic Aviation,BEV,0.00221954
109,2040,India,Domestic Aviation,Hydrogen,0.00196138
110,2040,India,Domestic Aviation,Liquids,0.722558
111,2040,India,International Aviation,BEV,4.50847e-07
112,2040,India,International Aviation,Hydrogen,2.47322e-06
113,2040,India,International Aviation,Liquids,0.462737
114,2040,South Asia,Domestic Aviation,BEV,9.35009e-05
115,2040,South Asia,Domestic Aviation,Hydrogen,4.78475e-05
116,2040,South Asia,Domestic Aviation,Liquids,0.01960281
117,2040,South Asia,International Aviation,BEV,3.3258000000000003e-07
118,2040,South Asia,International Aviation,Hydrogen,1.125706e-06
119,2040,South Asia,International Aviation,Liquids,0.2499415
120,2045,Africa_Western,Domestic Aviation,BEV,0.00360945
121,2045,Africa_Western,Domestic Aviation,Hydrogen,0.00256756
122,2045,Africa_Western,Domestic Aviation,Liquids,0.327488
123,2045,Africa_Western,International Aviation,BEV,2.47592e-06
124,2045,Africa_Western,International Aviation,Hydrogen,1.72946e-05
125,2045,Africa_Western,International Aviation,Liquids,0.253229
126,2045,Brazil,Domestic Aviation,BEV,0.00258269
127,2045,Brazil,Domestic Aviation,Hydrogen,0.00148308
128,2045,Brazil,Domestic Aviation,Liquids,0.200146
129,2045,Brazil,International Aviation,BEV,2.7485e-06
130,2045,Brazil,International Aviation,Hydrogen,1.58568e-05
131,2045,Brazil,International Aviation,Liquids,0.232805
132,2045,China,Domestic Aviation,BEV,0.0444642
133,2045,China,Domestic Aviation,Hydrogen,0.0263232
134,2045,China,Domestic Aviation,Liquids,2.92776
135,2045,China,International Aviation,BEV,1.89546e-05
136,2045,China,International Aviation,Hydrogen,0.000112371
137,2045,China,International Aviation,Liquids,1.29166
138,2045,India,Domestic Aviation,BEV,0.00856145
139,2045,India,Domestic Aviation,Hydrogen,0.00750089
140,2045,India,Domestic Aviation,Liquids,0.918424
141,2045,India,International Aviation,BEV,5.16524e-06
142,2045,India,International Aviation,Hydrogen,4.34882e-05
143,2045,India,International Aviation,Liquids,0.568535
144,2045,South Asia,Domestic Aviation,BEV,0.000354473
145,2045,South Asia,Domestic Aviation,Hydrogen,0.00018836139999999998
146,2045,South Asia,Domestic Aviation,Liquids,0.025614909999999998
147,2045,South Asia,International Aviation,BEV,3.87276e-06
148,2045,South Asia,International Aviation,Hydrogen,2.106979e-05
149,2045,South Asia,International Aviation,Liquids,0.319879
150,2050,Africa_Western,Domestic Aviation,BEV,0.012614
151,2050,Africa_Western,Domestic Aviation,Hydrogen,0.00947286
152,2050,Africa_Western,Domestic Aviation,Liquids,0.441657
153,2050,Africa_Western,International Aviation,BEV,2.63387e-05
154,2050,Africa_Western,International Aviation,Hydrogen,0.000248812
155,2050,Africa_Western,International Aviation,Liquids,0.335205
156,2050,Brazil,Domestic Aviation,BEV,0.00680314
157,2050,Brazil,Domestic Aviation,Hydrogen,0.00415012
158,2050,Brazil,Domestic Aviation,Liquids,0.203912
159,2050,Brazil,International Aviation,BEV,2.32641e-05
160,2050,Brazil,International Aviation,Hydrogen,0.000182071
161,2050,Brazil,International Aviation,Liquids,0.248566
162,2050,China,Domestic Aviation,BEV,0.113948
163,2050,China,Domestic Aviation,Hydrogen,0.074787
164,2050,China,Domestic Aviation,Liquids,2.90812
165,2050,China,International Aviation,BEV,0.000152862
166,2050,China,International Aviation,Hydrogen,0.00127251
167,2050,China,International Aviation,Liquids,1.33896
168,2050,India,Domestic Aviation,BEV,0.0289597
169,2050,India,Domestic Aviation,Hydrogen,0.0246191
170,2050,India,Domestic Aviation,Liquids,1.10295
