,region,Type,industry,biomass,fossil fuel,refined liquid
0,Africa_Western,Emission,230.3577284246339,8.820526356190001,24.061241135448007,4.795575331
1,Brazil,Emission,106.92727853728002,1.4986090948,11.865560635000001,1.398808562
2,China,Emission,707.4080973585001,47.580014569999996,187.20340855999996,0.23863733120000002
3,India,Emission,447.33692047739896,72.16640849590001,120.21828893419999,6.0677532880000005
4,South Asia,Emission,76.54419208067159,6.316489060097999,9.7712334422145,1.1848115729200002
5,Africa_Western,CCS,28.758904165274064,3.66337331,19.840108390599998,4.158945834
6,Brazil,CCS,52.2198870997,3.169801932,16.198134130999996,2.5066241999999996
7,China,CCS,479.7551445739999,28.36534358,54.81464979999999,0.362993294
8,India,CCS,118.551642323727,10.807063843,16.967003165999998,3.940502934000001
9,South Asia,CCS,12.166828951236,1.1610855609100001,5.8849267582586995,0.7941494632999999
