,Units,scenario,Year,value
0,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",1975,0.0
1,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",1980,0.345863
2,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",1985,0.451742
3,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",1990,0.563683
4,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",1995,0.682267
5,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2000,0.798416
6,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,0.898257
7,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,1.01416
8,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,1.17382
9,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,1.32127
10,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,1.46329
11,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,1.59529
12,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,1.70371
13,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,1.78574
14,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,1.84256
15,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,1.87914
16,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,1.89958
17,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,1.90857
18,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,1.91011
19,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,1.90601
20,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,1.89666
21,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,1.88215
22,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,1.86249
23,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,1.83763
24,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,1.80782
25,degreesC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,1.77368
