,Year,region,mode,technology,value
415,2035,Canada,shipping,BEV,3.7169293e-05
416,2035,Canada,shipping,FCEV,1.195252e-05
419,2035,EU-15,aviation,BEV,0.002735862697
422,2035,EU-15,rail,BEV,0.00292846
423,2035,EU-15,rail,Electric,0.2572048
424,2035,EU-15,rail,FCEV,0.00452778
427,2035,EU-15,road,BEV,0.3933495404198701
428,2035,EU-15,road,FCEV,0.17306174992029
432,2035,EU-15,shipping,BEV,0.0001646595
433,2035,EU-15,shipping,FCEV,0.0002667947
436,2035,European Free Trade Association,aviation,BEV,0.0002378294791
439,2035,European Free Trade Association,rail,BEV,0.000292044
440,2035,European Free Trade Association,rail,Electric,0.018737089999999998
441,2035,European Free Trade Association,rail,FCEV,0.000445045
444,2035,European Free Trade Association,road,BEV,0.01479810917427
445,2035,European Free Trade Association,road,FCEV,0.00641599070741
449,2035,European Free Trade Association,shipping,BEV,5.467057e-05
450,2035,European Free Trade Association,shipping,FCEV,7.578515e-06
453,2035,Russia,aviation,BEV,0.0009709224035999999
456,2035,Russia,rail,BEV,0.0331158
457,2035,Russia,rail,Electric,0.27104609
458,2035,Russia,rail,FCEV,0.035248
461,2035,Russia,road,BEV,0.111395995191374
462,2035,Russia,road,FCEV,0.029569644954000003
466,2035,Russia,shipping,BEV,6.23628e-05
467,2035,Russia,shipping,FCEV,0.00019362170000000002
470,2035,South Korea,aviation,BEV,0.00065763904158
473,2035,South Korea,rail,BEV,0.000123439
474,2035,South Korea,rail,Electric,0.0061242
475,2035,South Korea,rail,FCEV,0.000187889
478,2035,South Korea,road,BEV,0.0519961408597
479,2035,South Korea,road,FCEV,0.015868872859200002
483,2035,South Korea,shipping,BEV,1.853706e-05
484,2035,South Korea,shipping,FCEV,6.390567e-05
487,2035,USA,aviation,BEV,0.00651736947
490,2035,USA,rail,BEV,0.0538889
491,2035,USA,rail,Electric,0.0622009
492,2035,USA,rail,FCEV,0.0668763
495,2035,USA,road,BEV,1.0652553881499998
496,2035,USA,road,FCEV,0.319170613
500,2035,USA,shipping,BEV,0.0005419229
501,2035,USA,shipping,FCEV,0.000545199
504,2040,Australia_NZ,aviation,BEV,0.001073606245
507,2040,Australia_NZ,rail,BEV,0.00249867
508,2040,Australia_NZ,rail,Electric,0.028431300700000002
509,2040,Australia_NZ,rail,FCEV,0.00327622
512,2040,Australia_NZ,road,BEV,0.07864964208894
513,2040,Australia_NZ,road,FCEV,0.03702694890017
517,2040,Australia_NZ,shipping,BEV,8.552749e-05
518,2040,Australia_NZ,shipping,FCEV,5.74963e-05
521,2040,Canada,aviation,BEV,0.0015288245831
524,2040,Canada,rail,BEV,0.00493614
525,2040,Canada,rail,Electric,0.006495605
526,2040,Canada,rail,FCEV,0.00623283
529,2040,Canada,road,BEV,0.132237401908771
530,2040,Canada,road,FCEV,0.04527115568774
534,2040,Canada,shipping,BEV,0.00012661984999999998
535,2040,Canada,shipping,FCEV,4.08907e-05
538,2040,EU-15,aviation,BEV,0.0073582931599999995
541,2040,EU-15,rail,BEV,0.00383032
542,2040,EU-15,rail,Electric,0.25700157
543,2040,EU-15,rail,FCEV,0.00599254
546,2040,EU-15,road,BEV,0.5120668256155091
547,2040,EU-15,road,FCEV,0.24520814732757
551,2040,EU-15,shipping,BEV,0.0005251030000000001
552,2040,EU-15,shipping,FCEV,0.0010414066
555,2040,European Free Trade Association,aviation,BEV,0.000611549862
558,2040,European Free Trade Association,rail,BEV,0.000368762
559,2040,European Free Trade Association,rail,Electric,0.018773077
560,2040,European Free Trade Association,rail,FCEV,0.000570048
563,2040,European Free Trade Association,road,BEV,0.019199032586019998
564,2040,European Free Trade Association,road,FCEV,0.0090747788953
568,2040,European Free Trade Association,shipping,BEV,0.00016129940499999998
569,2040,European Free Trade Association,shipping,FCEV,2.5907049999999998e-05
572,2040,Russia,aviation,BEV,0.002995127708
575,2040,Russia,rail,BEV,0.0443184
576,2040,Russia,rail,Electric,0.25255883
577,2040,Russia,rail,FCEV,0.0463515
580,2040,Russia,road,BEV,0.141837955658674
581,2040,Russia,road,FCEV,0.043823007379
585,2040,Russia,shipping,BEV,0.0002385005
586,2040,Russia,shipping,FCEV,0.0007815105000000001
589,2040,South Korea,aviation,BEV,0.0017394019994
592,2040,South Korea,rail,BEV,0.000159111
593,2040,South Korea,rail,Electric,0.005937299
594,2040,South Korea,rail,FCEV,0.0002452
597,2040,South Korea,road,BEV,0.06651436366267
598,2040,South Korea,road,FCEV,0.021839795002700002
602,2040,South Korea,shipping,BEV,6.0621099999999995e-05
603,2040,South Korea,shipping,FCEV,0.00024192498
606,2040,USA,aviation,BEV,0.01688696313
609,2040,USA,rail,BEV,0.0664589
610,2040,USA,rail,Electric,0.068191
611,2040,USA,rail,FCEV,0.0820578
614,2040,USA,road,BEV,1.4610695909959999
615,2040,USA,road,FCEV,0.49029736860000006
619,2040,USA,shipping,BEV,0.0015616640000000002
620,2040,USA,shipping,FCEV,0.001720069
623,2045,Australia_NZ,aviation,BEV,0.00317931331
626,2045,Australia_NZ,rail,BEV,0.002864
627,2045,Australia_NZ,rail,Electric,0.029662161
628,2045,Australia_NZ,rail,FCEV,0.00373873
631,2045,Australia_NZ,road,BEV,0.09065027583054498
632,2045,Australia_NZ,road,FCEV,0.0468397937129
636,2045,Australia_NZ,shipping,BEV,0.0003466216
637,2045,Australia_NZ,shipping,FCEV,0.00021631329999999998
640,2045,Canada,aviation,BEV,0.004470474895
643,2045,Canada,rail,BEV,0.00551979
644,2045,Canada,rail,Electric,0.0067025869999999994
645,2045,Canada,rail,FCEV,0.00694078
648,2045,Canada,road,BEV,0.14918742918734001
649,2045,Canada,road,FCEV,0.0572419115441
653,2045,Canada,shipping,BEV,0.0004888039
654,2045,Canada,shipping,FCEV,0.0001498644
657,2045,EU-15,aviation,BEV,0.0209505095
660,2045,EU-15,rail,BEV,0.00435622
661,2045,EU-15,rail,Electric,0.25872323
662,2045,EU-15,rail,FCEV,0.00687846
665,2045,EU-15,road,BEV,0.564931824230648
666,2045,EU-15,road,FCEV,0.2956719796782801
670,2045,EU-15,shipping,BEV,0.0020169890000000003
671,2045,EU-15,shipping,FCEV,0.0045893
674,2045,European Free Trade Association,aviation,BEV,0.00163252861
677,2045,European Free Trade Association,rail,BEV,0.000419746
678,2045,European Free Trade Association,rail,Electric,0.019030329000000002
