,Year,region,mode,technology,value
416,2035,Canada,shipping,FCEV,2.91666e-05
419,2035,EU-15,aviation,BEV,0.002415624178
422,2035,EU-15,rail,BEV,0.00827358
423,2035,EU-15,rail,Electric,0.19621110000000003
424,2035,EU-15,rail,FCEV,0.0132061
427,2035,EU-15,road,BEV,0.6912732450385779
428,2035,EU-15,road,FCEV,0.2706088675247
432,2035,EU-15,shipping,BEV,0.0002234524
433,2035,EU-15,shipping,FCEV,0.000381879
436,2035,European Free Trade Association,aviation,BEV,0.0001602619399
439,2035,European Free Trade Association,rail,BEV,0.00063963
440,2035,European Free Trade Association,rail,Electric,0.01614846
441,2035,European Free Trade Association,rail,FCEV,0.00101628
444,2035,European Free Trade Association,road,BEV,0.02573440002714
445,2035,European Free Trade Association,road,FCEV,0.0100652639569
449,2035,European Free Trade Association,shipping,BEV,5.4626061e-05
450,2035,European Free Trade Association,shipping,FCEV,2.4273987000000003e-05
453,2035,Russia,aviation,BEV,0.0011716704966
456,2035,Russia,rail,BEV,0.048902
457,2035,Russia,rail,Electric,0.225941994
458,2035,Russia,rail,FCEV,0.0561145
461,2035,Russia,road,BEV,0.22634882941815
462,2035,Russia,road,FCEV,0.05002101944
466,2035,Russia,shipping,BEV,6.47515e-05
467,2035,Russia,shipping,FCEV,0.00025355690000000003
470,2035,South Korea,aviation,BEV,0.00063545929664
473,2035,South Korea,rail,BEV,0.000542114
474,2035,South Korea,rail,Electric,0.008445639999999999
475,2035,South Korea,rail,FCEV,0.000872039
478,2035,South Korea,road,BEV,0.097859981125
479,2035,South Korea,road,FCEV,0.02308512582
483,2035,South Korea,shipping,BEV,2.329689e-05
484,2035,South Korea,shipping,FCEV,6.80199e-05
487,2035,USA,aviation,BEV,0.007206222248
490,2035,USA,rail,BEV,0.0569296
491,2035,USA,rail,Electric,0.04619387
492,2035,USA,rail,FCEV,0.0707948
495,2035,USA,road,BEV,1.4756744634499999
496,2035,USA,road,FCEV,0.381803671
500,2035,USA,shipping,BEV,0.000434846
501,2035,USA,shipping,FCEV,0.000454386
504,2040,Australia_NZ,aviation,BEV,0.001058544085
507,2040,Australia_NZ,rail,BEV,0.00640036
508,2040,Australia_NZ,rail,Electric,0.023307117500000002
509,2040,Australia_NZ,rail,FCEV,0.00844517
512,2040,Australia_NZ,road,BEV,0.15136999867026
513,2040,Australia_NZ,road,FCEV,0.069784182957
517,2040,Australia_NZ,shipping,BEV,0.0001500892
518,2040,Australia_NZ,shipping,FCEV,8.1581e-05
521,2040,Canada,aviation,BEV,0.0011569729702
524,2040,Canada,rail,BEV,0.013458
525,2040,Canada,rail,Electric,0.004734248
526,2040,Canada,rail,FCEV,0.0175089
529,2040,Canada,road,BEV,0.20551262332562
530,2040,Canada,road,FCEV,0.07075331190199999
534,2040,Canada,shipping,BEV,0.000146593309
535,2040,Canada,shipping,FCEV,9.569432999999999e-05
538,2040,EU-15,aviation,BEV,0.00623542347
541,2040,EU-15,rail,BEV,0.0107195
542,2040,EU-15,rail,Electric,0.1951155
543,2040,EU-15,rail,FCEV,0.0173564
546,2040,EU-15,road,BEV,0.8954785383961571
547,2040,EU-15,road,FCEV,0.38772337283130004
551,2040,EU-15,shipping,BEV,0.0006404407
552,2040,EU-15,shipping,FCEV,0.00138097
555,2040,European Free Trade Association,aviation,BEV,0.0004188070797
558,2040,European Free Trade Association,rail,BEV,0.00080501
559,2040,European Free Trade Association,rail,Electric,0.01605248
