region,Year,technology,value
Africa_Western,2005,Electric,0.00289463
Africa_Western,2010,Electric,0.004180629999999999
Africa_Western,2015,Electric,0.001011418
Africa_Western,2020,Electric,0.010965171
Africa_Western,2025,BEV,2.640860982973
Africa_Western,2025,Electric,0.019179883999999998
Africa_Western,2025,FCEV,1.5575908729999999
Africa_Western,2030,BEV,12.3728312713
Africa_Western,2030,Electric,0.035056119
Africa_Western,2030,FCEV,6.99778423
Africa_Western,2035,BEV,29.17138094769
Africa_Western,2035,Electric,0.062309680000000006
Africa_Western,2035,FCEV,17.755498819
Africa_Western,2040,BEV,39.7498285505
Africa_Western,2040,Electric,0.1128403811
Africa_Western,2040,FCEV,19.314708540999998
Africa_Western,2045,BEV,47.13346486
Africa_Western,2045,Electric,0.192562816
Africa_Western,2045,FCEV,16.932501300000002
Africa_Western,2050,BEV,58.72737916999999
Africa_Western,2050,Electric,0.30815736099999996
Africa_Western,2050,FCEV,17.71066652
Africa_Western,2055,BEV,65.79337982999999
Africa_Western,2055,Electric,0.471448919
Africa_Western,2055,FCEV,18.18592008
Africa_Western,2060,BEV,80.90804540000002
Africa_Western,2060,Electric,0.681649011
Africa_Western,2060,FCEV,21.28372975
Africa_Western,2065,BEV,101.2199387
Africa_Western,2065,Electric,0.94077394
Africa_Western,2065,FCEV,25.1904453
Africa_Western,2070,BEV,128.895941
Africa_Western,2070,Electric,1.24261532
Africa_Western,2070,FCEV,30.5190653
Africa_Western,2075,BEV,156.14363300000002
Africa_Western,2075,Electric,1.56326692
Africa_Western,2075,FCEV,35.771639
Africa_Western,2080,BEV,181.331788
Africa_Western,2080,Electric,1.90259027
Africa_Western,2080,FCEV,40.4676077
Africa_Western,2085,BEV,208.55997299999999
Africa_Western,2085,Electric,2.2394228099999998
Africa_Western,2085,FCEV,46.5436998
Africa_Western,2090,BEV,236.21720079999997
Africa_Western,2090,Electric,2.56839005
Africa_Western,2090,FCEV,52.7515202
Africa_Western,2095,BEV,263.3851852
Africa_Western,2095,Electric,2.88662047
Africa_Western,2095,FCEV,58.782244999999996
Africa_Western,2100,BEV,288.7628875
Africa_Western,2100,Electric,3.1836531499999996
Africa_Western,2100,FCEV,63.5336558
Brazil,1975,Electric,2.76373
Brazil,1990,Electric,3.20894
Brazil,2005,Electric,2.34067
Brazil,2010,Electric,2.88432
Brazil,2015,Electric,2.82737
Brazil,2020,Electric,20.02955
Brazil,2025,BEV,29.99056417221
Brazil,2025,Electric,8.830706000000001
Brazil,2025,FCEV,5.38483565
Brazil,2030,BEV,57.28872475699999
Brazil,2030,Electric,9.621835
Brazil,2030,FCEV,20.3525572
Brazil,2035,BEV,66.58151939333
Brazil,2035,Electric,10.5363
Brazil,2035,FCEV,28.466332109
Brazil,2040,BEV,69.2238234032
Brazil,2040,Electric,11.183541
Brazil,2040,FCEV,27.759089063000005
Brazil,2045,BEV,63.802806399
Brazil,2045,Electric,11.478236
Brazil,2045,FCEV,23.25377929
Brazil,2050,BEV,67.5435264
Brazil,2050,Electric,11.535371
Brazil,2050,FCEV,23.77709683
Brazil,2055,BEV,69.34420063999998
Brazil,2055,Electric,11.079885
Brazil,2055,FCEV,23.909555639999997
Brazil,2060,BEV,71.19511490000001
Brazil,2060,Electric,10.740312
Brazil,2060,FCEV,25.021410000000003
Brazil,2065,BEV,73.2910143
Brazil,2065,Electric,10.28797
Brazil,2065,FCEV,26.5151383
Brazil,2070,BEV,75.980192
Brazil,2070,Electric,9.848181
Brazil,2070,FCEV,27.223582599999997
Brazil,2075,BEV,80.80109999999999
Brazil,2075,Electric,9.35046
Brazil,2075,FCEV,28.438276699999996
Brazil,2080,BEV,85.9012761
Brazil,2080,Electric,8.79316
Brazil,2080,FCEV,30.6994087
Brazil,2085,BEV,92.5273164
Brazil,2085,Electric,8.096260000000001
Brazil,2085,FCEV,34.0621211
Brazil,2090,BEV,99.93764709999999
Brazil,2090,Electric,7.29599
Brazil,2090,FCEV,38.743619
Brazil,2095,BEV,107.0917418
Brazil,2095,Electric,6.5745000000000005
Brazil,2095,FCEV,45.534061
Brazil,2100,BEV,111.7951258
Brazil,2100,Electric,5.946924
Brazil,2100,FCEV,51.816102
China,1975,Electric,1.242924
China,1990,BEV,5.57966e-05
China,1990,Electric,3.8218199999999998
China,2005,BEV,0.000145045
China,2005,Electric,20.79619
China,2010,BEV,0.000159906
China,2010,Electric,26.8425
China,2015,BEV,0.000150065
China,2015,Electric,29.1381
China,2020,Electric,25.612212
China,2025,BEV,43.73342527152
China,2025,Electric,12.053647
China,2025,FCEV,16.045186010000002
China,2030,BEV,88.561569565
China,2030,Electric,6.829974
China,2030,FCEV,57.0705696
China,2035,BEV,159.32811880699998
China,2035,Electric,3.415083
China,2035,FCEV,118.8582042
China,2040,BEV,169.97159887999996
China,2040,Electric,4.020563
China,2040,FCEV,105.27842899999999
China,2045,BEV,152.46554004000004
China,2045,Electric,7.09172
China,2045,FCEV,73.38133110000001
China,2050,BEV,160.3514638
China,2050,Electric,7.94439
China,2050,FCEV,66.8023333
China,2055,BEV,142.20004880000002
China,2055,Electric,7.63414
China,2055,FCEV,64.2847075
China,2060,BEV,149.56146809999998
China,2060,Electric,7.54983
China,2060,FCEV,67.283025
China,2065,BEV,154.29233000000002
China,2065,Electric,7.41234
China,2065,FCEV,69.17242000000002
China,2070,BEV,159.16353900000001
China,2070,Electric,7.328860000000001
China,2070,FCEV,69.95935599999999
China,2075,BEV,162.52211400000002
China,2075,Electric,7.021100000000001
China,2075,FCEV,71.282989
China,2080,BEV,162.49547099999995
China,2080,Electric,6.69984
China,2080,FCEV,73.099984
China,2085,BEV,164.80254699999998
China,2085,Electric,6.3352900000000005
China,2085,FCEV,77.421724
China,2090,BEV,165.91541599999996
China,2090,Electric,6.064447
China,2090,FCEV,81.87105100000001
China,2095,BEV,165.436103
China,2095,Electric,5.860393
China,2095,FCEV,86.128969
China,2100,BEV,167.60077299999998
China,2100,Electric,5.8139140000000005
China,2100,FCEV,88.40671999999999
India,1975,Electric,3.25005
India,1990,Electric,5.5032
India,2005,Electric,13.72894
India,2010,Electric,8.66919
India,2015,Electric,9.816410000000001
India,2020,Electric,31.526997
India,2025,BEV,10.958225716700001
India,2025,Electric,10.470461
India,2025,FCEV,6.256589449999999
India,2030,BEV,37.11679279
India,2030,Electric,8.177893000000001
India,2030,FCEV,25.537806550000003
India,2035,BEV,95.7797100717
India,2035,Electric,5.545443000000001
India,2035,FCEV,63.867646942
India,2040,BEV,120.282799286
India,2040,Electric,5.782871
India,2040,FCEV,62.61011044600001
India,2045,BEV,133.16795425
India,2045,Electric,7.08566
India,2045,FCEV,46.15040599
India,2050,BEV,154.31854719999998
India,2050,Electric,7.344430000000001
India,2050,FCEV,39.755918109999996
India,2055,BEV,159.057059
India,2055,Electric,7.057180000000001
India,2055,FCEV,34.391114699999996
India,2060,BEV,181.89811939999996
India,2060,Electric,6.92224
India,2060,FCEV,34.5563368
India,2065,BEV,209.2998174
India,2065,Electric,6.78518
India,2065,FCEV,33.8521872
India,2070,BEV,233.87933700000002
India,2070,Electric,6.6783
India,2070,FCEV,32.0849664
India,2075,BEV,252.78736
India,2075,Electric,6.36687
India,2075,FCEV,31.1787704
India,2080,BEV,268.71570499999996
India,2080,Electric,6.06959
India,2080,FCEV,30.437838949999996
India,2085,BEV,285.819117
India,2085,Electric,5.67516
India,2085,FCEV,31.86348668
India,2090,BEV,299.37101400000006
India,2090,Electric,5.352228
India,2090,FCEV,32.65924390000001
India,2095,BEV,310.96692899999994
India,2095,Electric,5.11278
India,2095,FCEV,33.2318031
India,2100,BEV,318.283048
India,2100,Electric,4.971668
India,2100,FCEV,32.8779946
South Asia,1975,Electric,0.01511583
South Asia,1990,Electric,0.00755795
South Asia,2005,Electric,0.0055461
South Asia,2010,Electric,0.0004495177
South Asia,2015,Electric,0.000926379
South Asia,2020,Electric,0.013303536000000001
South Asia,2025,BEV,4.12088343633
South Asia,2025,Electric,0.017776401
South Asia,2025,FCEV,2.2358390343999996
South Asia,2030,BEV,14.473350522999999
South Asia,2030,Electric,0.0288705514
South Asia,2030,FCEV,9.841909939999999
South Asia,2035,BEV,35.258789831410006
South Asia,2035,Electric,0.04803329
South Asia,2035,FCEV,26.089815470999998
South Asia,2040,BEV,44.2996800452
South Asia,2040,Electric,0.07520814
South Asia,2040,FCEV,27.748283119999996
South Asia,2045,BEV,45.070248864
South Asia,2045,Electric,0.111267118
South Asia,2045,FCEV,20.632269719999996
South Asia,2050,BEV,47.70465256
South Asia,2050,Electric,0.152456088
South Asia,2050,FCEV,17.28728117
South Asia,2055,BEV,42.19574508
South Asia,2055,Electric,0.217115463
South Asia,2055,FCEV,13.72913511
South Asia,2060,BEV,46.49566611
South Asia,2060,Electric,0.288875279
South Asia,2060,FCEV,13.715194389999999
South Asia,2065,BEV,51.9943335
South Asia,2065,Electric,0.36996897399999995
South Asia,2065,FCEV,13.55286796
South Asia,2070,BEV,58.46608744000001
South Asia,2070,Electric,0.45806975
South Asia,2070,FCEV,13.346236500000002
South Asia,2075,BEV,63.67293309
South Asia,2075,Electric,0.5443824829999999
South Asia,2075,FCEV,13.50538887
South Asia,2080,BEV,68.17559606999998
South Asia,2080,Electric,0.626213657
South Asia,2080,FCEV,13.847571839999999
South Asia,2085,BEV,73.56502089
South Asia,2085,Electric,0.693614165
South Asia,2085,FCEV,15.5485145
South Asia,2090,BEV,78.11489739
South Asia,2090,Electric,0.7588409800000001
South Asia,2090,FCEV,16.81382413
South Asia,2095,BEV,81.86915063999999
