,Year,region,value
0,2030,Africa_Western,0.48382316403700004
1,2030,Brazil,1.89937189434
2,2030,China,11.146232300000001
3,2030,India,3.331687201
4,2030,South Asia,0.41840711402999997
5,2050,Africa_Western,3.1489608142000005
6,2050,Brazil,3.0946023547200006
7,2050,China,17.369541320000003
8,2050,India,7.7237871149999995
9,2050,South Asia,1.2774972610000002
10,2085,Africa_Western,10.1956614869
11,2085,Brazil,8.728771687297602
12,2085,China,27.748257279129998
13,2085,India,10.40389578148
14,2085,South Asia,3.7613236025
