,sector,region,scenario,Year,value
0,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2010,-2.388889255024956e-10
1,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2025,-7.645307812191272e-10
2,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2030,-7.923079685932857e-09
3,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2040,-3.868252412311858e-09
4,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2050,-2.786995438355696e-07
5,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2055,-7.420999980956686e-07
6,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2065,-1.1310327035e-06
7,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2070,-1.2865599403e-06
8,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2075,-5.379354149102824e-07
9,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2085,-7.756928327783478e-08
10,,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2090,-2.1811552709e-06
11,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2010,-6.350772553940793e-08
12,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2020,-1.0878337454144423e-07
13,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2025,-1.1246865834e-06
14,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2030,-4.883451349511927e-07
15,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2035,-1.0449278185e-06
16,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2045,-1.3389170466e-06
17,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2050,-3.394763733798616e-07
18,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2065,-4.091705464539974e-16
19,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2070,-6.7898096874e-06
20,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2075,-7.079549807174616e-07
21,,Brazil,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2085,-1.1864656563e-06
22,,China,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2005,-1.5340281394e-06
23,,China,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2030,-5.0702539682e-06
24,,China,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2035,-2.99676128214e-05
25,,China,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2040,-2.13971036417e-05
26,,China,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2045,-1.23485852815e-05
27,,China,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2055,-5.01312115636e-05
28,,China,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2085,-4.33051182468e-05
29,,China,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2090,-2.23137634717e-05
30,,China,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2100,-1.7210594242e-06
31,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2010,-1.6831346386570769e-07
32,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2015,-4.4915909436843226e-07
33,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2025,-6.83830548267165e-07
34,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2030,-3.352962971689588e-07
35,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2040,-1.4392780872e-06
36,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2045,-4.619526714806704e-07
37,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2050,-6.6755159818e-06
38,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2070,-2.40151669115e-05
39,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2075,-2.5627594116e-06
40,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2080,-4.3254688891e-06
41,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2090,-3.6896663241e-06
42,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2095,-2.8366737838e-06
43,,India,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2100,-2.2114092695e-06
44,,South Asia,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2005,-1.123857962552257e-08
45,,South Asia,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2015,-1.4378033153683393e-07
46,,South Asia,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2020,-2.79904734174875e-10
47,,South Asia,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2025,-2.9693068322165637e-09
48,,South Asia,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2030,-3.2267422971e-06
49,,South Asia,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2040,-4.824111767755398e-16
50,,South Asia,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2045,-1.32665041876e-05
